--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  539): 164667 + Lcom/example/cwac_test/MainActivity; onCreate
V/DBox    (  539): 164672 + Landroid/support/v7/app/ActionBarActivity; onCreate
V/DBox    (  539): 164696 + Landroid/support/v4/app/FragmentActivity; onCreate
V/DBox    (  539): 164696 - Landroid/support/v4/app/FragmentActivity; onCreate
V/DBox    (  539): 164705 - Landroid/support/v7/app/ActionBarActivity; onCreate
V/DBox    (  539): 164913 - Lcom/example/cwac_test/MainActivity; onCreate
V/DBox    (  539): 164914 + Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  539): 164920 - Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  539): 164921 + Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  539): 164922 - Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  539): 164966 + Lcom/example/cwac_test/MainActivity; onCreateOptionsMenu android.support.v7.internal.view.menu.MenuBuilder@460716c0
V/DBox    (  539): 164975 - Lcom/example/cwac_test/MainActivity; onCreateOptionsMenu
V/DBox    (  539): 168960 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4605db40
V/DBox    (  539): 169041 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  539): 170971 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4605e440
V/DBox    (  539): 171101 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  539): 172439 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4605ed00
V/DBox    (  539): 172452 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  539): 174290 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4605db40
V/DBox    (  539): 174325 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  539): 176677 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4605ed00
V/DBox    (  539): 176690 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  539): 181222 + Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  539): 181224 - Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  539): 181689 + Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  539): 181691 + Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  539): 181693 - Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  539): 181694 + Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  539): 181698 - Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  539): 181702 - Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  539): 181703 + Landroid/support/v4/app/FragmentActivity; onDestroy
