--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  400): 226823 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 226825 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 226840 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 226846 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 227002 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@462b26c0
V/DBox    (  400): 227054 - Lcom/fsck/k9/activity/MessageList; onItemClick
V/DBox    (  400): 227056 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  400): 227057 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  400): 227058 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 227060 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 227123 + Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    (  400): 227124 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 227128 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 227189 - Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    (  400): 227190 + Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    (  400): 227190 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 227195 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 227199 - Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    (  400): 229519 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@462ecef0
V/DBox    (  400): 229527 - Lcom/fsck/k9/activity/MessageView; onClick
V/DBox    (  400): 233191 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@462ec900
V/DBox    (  400): 233200 - Lcom/fsck/k9/activity/MessageView; onClick
V/DBox    (  400): 239921 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@462ec900
V/DBox    (  400): 239926 - Lcom/fsck/k9/activity/MessageView; onClick
V/DBox    (  400): 242114 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@462ecef0
V/DBox    (  400): 242120 - Lcom/fsck/k9/activity/MessageView; onClick
V/DBox    (  400): 249042 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 249043 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 249058 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 249126 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 251768 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 251770 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 251780 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 251782 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 251813 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 251819 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 251833 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 251833 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 251861 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 251861 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 251872 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 251873 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 252010 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@462b26c0
V/DBox    (  400): 252070 - Lcom/fsck/k9/activity/MessageList; onItemClick
V/DBox    (  400): 252071 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  400): 252071 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  400): 252072 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 252076 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 252107 + Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    (  400): 252107 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 252110 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 252159 - Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    (  400): 252159 + Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    (  400): 252160 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 252161 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 252162 - Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    (  400): 259244 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4631c870
V/DBox    (  400): 259252 - Lcom/fsck/k9/activity/MessageView; onClick
V/DBox    (  400): 262619 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 262621 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 262626 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 262699 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 270339 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270345 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270353 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270356 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270388 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270393 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270439 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270440 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270455 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270456 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270530 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270532 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270551 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270551 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270576 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270577 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270595 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270596 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270622 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270622 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270655 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270655 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270677 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270678 - Lcom/fsck/k9/activity/MessageList$1; onTouch
